"Time","Type","Date","Owner.operator","Registration","MSN","Year.of.manufacture","Engine.model","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Investigating.agency","Confidence.Rating","Narrative","detail_link"
"05:50","    Saab 340B","Monday 7 January 2019","RAF-AVIA","YL-RAF","340B-228","1991","General Electric CT7-9B","0 / Occupants: 3","0","Substantial, written off","Accident","Savonlinna Airport (SVL) -   Finland","Landing","Ferry/positioning","Riga International Airport (RIX/EVRA)","Savonlinna Airport (SVL/EFSA)"," SIAF","Accident investigation report completed and information captured","RAF-AVIA performed a positioning flight with a Saab 340B aircraft from Riga, Latvia, for Savonlinna, Finland. The flight crew comprised the captain (Pilot Flying, PF) and the co-pilot (Pilot Not Flying, PNF). Also, a ground engineer was on board. The purpose was to ferry the aircraft to Savonlinna to restart scheduled flights between Savonlinna and Helsinki-Vantaa.  The runway at Savonlinna was cleared from snow but there was packed snow at the edges. Because snow kept falling, the runway condition was considered 'poor', which was reported to the arriving aircraft. At 05:43 the captain reported being established on the ILS localiser. The AFIS officer reported that wind was 220 degrees at five knots and that runway 12 was free. The pilots used 20 degrees flap during the approach. According to the flight data recorder the approach was stable until the threshold. During the final approach the pilots saw the approach and runway lights well. Owing to the icing conditions they intended to use an airspeed which was 10 knots higher than the Aircraft Operations ManualÂs prescribed minimum approach speed. At the threshold their speed was 126 knots, while the approachÂs target speed was 120 knots. However, the airspeed at the touchdown zone markings was 123 knots. Contrasting from normal, the aircraft floated close to the surface for 6-7 seconds before touching down. The flight crew did not consider aborting the landing. Following the level flight the captain steered the aircraft toward the ground at a fairly high vertical speed. The aircraft touched down at 05:50, approximately 307 metres after the optimal touchdown point, on the left side of the runway. At touchdown the airspeed was 109 knots, which corresponds to the 110 knot target speed. Judging by the marks on the snow the left main landing gear hit the left snowbank on the uncleared area. The nose gear touched the runway, following which the left main gear became airborne for a moment and the right main gear touched the ground. The left main gear touched down again. After having travelled approximately 100 metres from the first touchdown point the aircraftÂs nose gear and the right main landing gear moved outside the cleared runway area. The aircraft was tracking towards the left, away from the direction of the runway. The pilots tried to turn the aircraft back towards the runway centreline. According to the markings the aircraft began to turn and started to skid sideways outside the cleared area of the runway. When the left main gear hit a high snowbank outside the runway, the aircraft began to turn more sharply to the left. The left engine stalled when snow entered its air intake. The pilots did not deploy reverse thrust. The right main gear knocked one runway edge light over. The aircraft stopped in half-metre deep snow outside the runway, at a 110 degree angle in relation to runway 12. The accident caused considerable damage to the aircraft. Both of the aircraftÂs propellers were damaged as well as the nose landing gear. The Safety Investigation Authority stated that this accident demonstrated the fact that the operating licences and air operator licences issued by the EU Member StatesÂ aviation authorities do not guarantee constant and uniform safety levels among air carriers. While the EUÂs regulations have aimed at ensuring the most open participation in tendering, they may result in overlooking the safety of aviation as one criterion in tendering. The purchaser organising the public tender for air services will not necessarily impose any safety-associated criteria because of being cautious about breaking EU competition rules and the court processes launched by losing bidders. Often the price and on-time performance are the tender criteria. Purchasers of air services do not have suitable and straightforward indicators to assess air carrier safety. Clients and purchasers may also include those that are not deeply familiar with the aviation branch. CONCLUSIONS 1. The operating licences and air operator licences issued by the EU Member StatesÂ aviation authorities do not guarantee constant and uniform safety levels among air carriers. 2. While the EUÂs regulations have aimed at ensuring the most open participation in tendering, they may result in overlooking the safety of aviation as one criterion in tendering. 3. The purchaser organising the public tender for air services will not necessarily impose any safety-associated criteria because of being cautious about breaking EU competition rules and the court processes launched by losing bidders. Often the price and on-time performance are the tender criteria. 4. Purchasers of air services do not have suitable and straightforward indicators to assess air carrier safety. Clients and purchasers may also include those that are not deeply familiar with the aviation branch. 5. The airline had not completely complied with its own safety management system. Oversight authorities do not always detect the difference between the safety management that operators promise to follow and their real-world practices. 6. At no time did the flight crew consider aborting the landing. 7. The airlineÂs operational manuals (OM-A and OM-B) were inconsistent concerning maximum crosswind components. The instructions were difficult to follow in practice. 8. Regardless of the alert to the Emergency Response Centre, no information about the airliner accident was relayed to the regionÂs divisional officer on duty because, owing to the situation assessment, there was no need to deploy rescue service units. 9. The Cockpit Voice Recorder had not recorded anything from the flight in question, and the earlier recordings that were retrieved from its memory were of extremely poor quality. The recording quality of the FDR, when compared to modern recorders, was poor. The magnetic tape of the FDR was worn, which caused defects in the recording.METAR: 03:20 UTC / 05:20 local time: EFSA 070320Z 21004KT 180V260 3000 -SN BKN006 OVC017 M02/M02 Q101103:50 UTC / 05:50 local time: EFSA 070350Z 22005KT 170V260 2500 SN BKN005 OVC015 M02/M02 Q101004:50 UTC / 06:50 local time: EFSA 070450Z AUTO 23005KT 180V270 4300 -SN OVC006 M01/M02 Q1010Accident investigation:   Investigating agency: SIAF Report number: L2019-01 Status: Investigation completedDuration: 11 monthsDownload report:  Final report Sources:  Location  Images: photo (c) Safety Investigation Authority Finland; Savonlinna Airport (SVL/EFSA); January 2019 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":43,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190107-0"
"","    Boeing 737-524 (WL)","Saturday 12 January 2019","UTair Aviation","VQ-BJP","28905/2934","1997","CFMI CFM56-3B1","0 / Occupants:","0","Substantial, written off","Other","Moskva-Vnukovo Airport (VKO) -   Russia","Pushback / towing","-","-","-",NA,"Information is only available from news, social media or unofficial sources","A UTair Boeing 737-524 suffered a nose landing gear collapse during pushback at Moscow's Vnukovo Airport, Russia. The aircraft was being towed on the Varz-400 maintenance ramp.Sources: https://russianplanes.net/reginfo/46874 History of this aircraft Other occurrences involving this aircraft ï»¿  13 October 2017 VQ-BJP UTair 0 Moscow-Vnukovo Airport (VKO/UUWW) non Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190112-1"
"11:30","    Canadair CL-600-2A12 Challenger 601","Saturday 12 January 2019","TW 601-C Investment LLC","N813WT","3016","1983Total airframe hrs:8408 hoursCycles:3947 flights","General Electric CF34-1A","0 / Occupants: 9","0","Substantial, written off","Accident","Uvalde-Ox Ranch Airport, TX -   United States of America","Landing","Executive","Fort Worth-Meacham Field, TX (FTW/KFTW)","Uvalde-Ox Ranch Airport ,TX"," NTSB","Accident investigation report completed and information captured","A Canadair Challenger 601, N813WT, impacted terrain following a runway excursion at the Ox Ranch Airport (01TX), Uvalde, Texas, USA. The captain, first officer flight attendant, and 6 passengers on board were not injured and the airplane sustained substantial damage.  As the airplane arrived in the Uvalde area, ARTCC cleared the airplane to descend to 4,000 ft. After leveling off at 4,000 ft, the flight crew canceled their IFR clearance and proceeded to the airport visually. The pilot flew over the runway and entered a left downwind visual traffic pattern to see if there were any animals on the runway and what the windsock on the airport indicated. The pilot stated that they did not see the windsock as they passed over the runway.  There were no animals on the runway, but the air was turbulent. The flight crew called their downwind and base legs over the airport's common frequency. On base leg, the pilot had the copilot set the flaps to 30Â°. As the pilot turned the airplane onto the final approach for landing, the copilot lowered the landing gear. The airplane was 4.5 miles from the end of the runway at 2,500 ft agl and an airspeed of 170 kts. The copilot completed the ""Before Landing"" checklist. The pilot confirmed the thrust reversers were armed and called for the flaps to be set to 45Â°. At 2 miles from the end of the runway, the pilot checked his approach speed and confirmed the landing gear was down. The pilot reported there was turbulence and wind gusts from the hills below and to the west of them. As they passed 50 ft. and coming over the runway, the pilot reduced engine power to idle. The pilot reported they then encountered a windshear. Their airspeed dropped rapidly and the airplane ""was forced down"" to the runway. The pilot unlocked the thrust reversers, applied brakes, and reached to deploy the ground spoilers. As he deployed the thrust reversers, the pilot said it felt like the right landing gear collapsed. He applied full nose-left rudder and left-wing-down aileron, but the airplane continued to veer to the right. The pilot tried using the tiller to steer to the left with no response. The airplane exited the side of the runway and went into the grass. A representative for the airport reported that the airplane on landing hit hard. About two thirds of the way down runway 35, the airplane slid off the right side of the runway. The airplane proceeded through a ditch and struck a perimeter fence before coming to a stop. Probable cause: ""The airplane's encounter with wind shear on short final approach to the runway, which resulted in a hard landing and fracture of the right main landing gear.""Accident investigation:   Investigating agency: NTSB Report number: CEN19LA054 Status: Investigation completedDuration: 1 year and 5 monthsDownload report:  Final report Sources: NTSB   Location  Images: photo (c) NTSB; Uvalde-Ox Ranch Airport, TX; 12 January 2019 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190112-0"
"08:30","    Boeing 707-3J9C","Monday 14 January 2019","Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF","EP-CPP","21128/917","1976","Pratt & Whitney JT3D-3B","15 / Occupants: 16","0","Destroyed, written off","Accident","Fat'h Airport -   Iran","Landing","Military","Bishkek-Manas International Airport (FRU/UCFM)","Payam International Airport (PYK/OIIP)",NA,NA,"A Boeing 707-300 cargo plane, operated for the Iranian Air Force, has crashed near Karaj, Iran, in adverse weather conditions. According to first reports the plane carried 16 persons with 15 fatalities accounted for. One occupant survived the crash. The plane was destroyed. The aircraft was transporting meat from Bishkek, Kyrgyzstan to Payam International Airport, Iran. Instead of landing on runway 30 at Payam Airport, the aircraft landed on runway 31L at Fat'h Airport. The aircraft went off the runway, smashed through an airport wall and came to rest in a residential area near the airport. A fire broke out. The runways of the airports of Payam at Fat'h are almost in line. The thresholds of runways 30 and 31L are 10 km apart. The Fat'h runway has a length of 1300 m while the Payam runway is 3659 m long. Payam Airport offers VOR/DME, NDB/DME and NDB approaches to runway 30.METAR: 03:00 UTC / 06:30 local time: OIIP 140300Z 12010KT 3000 SN RA FEW025 SCT035 OVC080 M00/M01 Q101204:00 UTC / 07:30 local time: OIIP 140400Z 16010KT 4000 BR FEW025 SCT035 OVC090 00/M01 Q1012 RERA 05:00 UTC / 08:30 local time: OIIP 140500Z 14010KT 3000 BR FEW025 SCT035 OVC080 M00/M01 Q1013 06:00 UTC / 09:30 local time: OIIP 140600Z 13010KT 3000 BR FEW025 SCT035 OVC090 00/M02 Q1013 Sources: IRNA  Previous wrong airport approach at Fat'h Airport   Location  Images: photo (c) ISNA, Samad Kordi; Fat'h Airport; 14 January 2019 photo (c) ISNA, Samad Kordi; Fat'h Airport; 14 January 2019 photo (c) ISNA, Samad Kordi; Fat'h Airport; 14 January 2019 photo (c) ISNA, Samad Kordi; Fat'h Airport; 14 January 2019 photo (c) Google Earth / ASN; Fat'h Airport; 14 January 2019 photo (c) Lee Holden; April 2000 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190114-0"
"13:00","    Cessna 208B Grand Caravan","Wednesday 16 January 2019","Air Services Limited - ASL","8R-YAC","208B0647","1997","Pratt & Whitney Canada PT6A-114A","0 / Occupants:","0","Substantial, repaired","Accident","Georgetown-Ogle International Airport (OGL) -   Guyana","Standing","Passenger - Scheduled","Georgetown-Ogle International Airport (OGL/SYGO)","Imbaimadai Airport (IMB/SYIB)",NA,NA,"During loading, as the passengers were already in the airplane, the airplane sustained a left-hand main landing gear collapse.Sources: kaieteurnewsonline.com  guyanachronicle.com   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190116-0"
"23:19 UTC","    Boeing 777-212ER","Friday 18 January 2019","Singapore Airlines","9V-SQL","33370/451","2003",NA,"0 / Occupants: 261","0","None","Accident","en route Melbourne-Wellington -   Australia","En route","Passenger - Scheduled","Melbourne-Tullamarine Airport, VIC (MEL/YMML)","Wellington International Airport (WLG/NZWN)"," TSIB Singapore","Accident investigation report completed and information captured","The Boeing 777-200 aircraft encountered turbulence while enroute from Melbourne, Australia to Wellington, New Zealand. As a result of the turbulence encounter, a passenger sustained a fractured right femur (thighbone). The flight continued to Wellington. Due to the nature of the injury, the passenger had to remain on the aisle during the landing in Wellington.Accident investigation:   Investigating agency: TSIB Singapore Report number:  Status: Investigation completedDuration: 9 monthsDownload report:  Final report Sources: AIB/AAI/CAS.175 Revision history:Date/timeContributorUpdates Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":52,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/302652"
"09:12","    Aero Modifications AMI DC-3-65TP","Monday 21 January 2019","Priority Air Charter","N467KS","20175","1944Total airframe hrs:37504 hours","Pratt & Whitney Canada PT6A-65AR","2 / Occupants: 2","0","Substantial, written off","Accident","SE of Kidron-Stoltzfus Airfield, OH -   United States of America","Initial climb","Ferry/positioning","Kidron-Stoltzfus Airfield, OH","Akron/Canton Regional Airport, OH (CAK/KCAK)"," NTSB","Accident investigation report completed and information captured","The turbine powered DC-3-65TP impacted terrain while departing from Kidron-Stoltzfus Airfield (OH22), Ohio, USA. The captain and first officer were fatally injured and the airplane sustained substantial damage. The airplane was registered to Priority Air Charter LLC and operated by AFM Hardware Inc. Visual meteorological conditions prevailed for the positioning flight, which was destined for Akron-Canton Regional Airport (CAK), North Canton, Ohio. The airplane was part of a test program for new, higher horsepower engine installation. Soon after liftoff and about 3 seconds after decision speed (V1), the left engine lost total power. The propeller began to auto-feather but stopped feathering about 3 seconds after the power loss. The airplane yawed and banked to the left, descended, and impacted terrain. The airplane struck power lines and trees before impacting the ground and came to rest about 200 yards from the end of runway 19. The main wreckage was upright and oriented on a northwesterly heading, with the fuselage separated forward of the wings. The left wing was broken aft and upward and the inboard leading edge of the right wing was crushed aft. The left engine was broken aft and outboard of the wing's leading edge. The right engine was broken downward at the nacelle. The nose of the airplane was located forward and left of the airplane main wreckage. Recorded engine data indicated the power loss was due to an engine flameout; however, examination of the engine did not determine a reason for the flameout or the auto-feather system interruption. While it is plausible that an air pocket developed in the fuel system during the refueling just before the flight, this scenario was not able to be tested or confirmed. It is possible that the auto-feather system interruption would have occurred if the left power lever was manually retarded during the auto-feather sequence.  The power loss and auto-feather system interruption occurred during a critical, time-sensitive phase of flight since the airplane was at low altitude and below minimum controllable airspeed (Vmc). The acutely transitional phase of flight would have challenged the pilots' ability to manually feather the propeller quickly and accurately. The time available for the crew to respond to the unexpected event was likely less than needed to recognize the problem and take this necessary action Â even as an immediate action checklist/memory item. Probable cause: The loss of airplane control after an engine flameout and auto-feather system interruption during the takeoff climb, which resulted in an impact with terrain.Accident investigation:   Investigating agency: NTSB Report number: CEN19LA056 Status: Investigation completedDuration: 1 year and 8 monthsDownload report:  Final report Sources: news5cleveland.com  Flightaware.com  indeonline.com  NTSB   Location  Images: photo (c) NTSB; Kidron-Stoltzfus Airfield, OH; January 2019; (publicdomain) photo (c) NTSB; Kidron-Stoltzfus Airfield, OH; January 2019; (publicdomain) photo (c) NTSB; Kidron-Stoltzfus Airfield, OH; January 2019; (publicdomain) photo (c) NTSB; Kidron-Stoltzfus Airfield, OH; January 2019; (publicdomain) photo (c) David Overmire; Liverpool International Airport (LPL/EGGP); 30 October 2016 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190121-0"
"","    Boeing 737-8LJ (WL)","Tuesday 22 January 2019","Aeroflot Russian International Airlines","VP-BRR","41197/4710","2013","CFMI CFM56-7B26E","0 / Occupants: 76","0","None","Unlawful Interference","Khanty-Mansiysk International Airport (HMA) -   Russia","En route","Passenger - Scheduled","Surgut Airport (SGC/USRR)","Moskva-Sheremetyevo Airport (SVO/UUEE)",NA,"","Aeroflot flight 1515, a Boeing 737-800, made an emergency landing at Khanty-Mansiysk International Airport, Russia, after a passenger attempted to hijack the aircraft.  The flight had departed Surgut at 09:55 UTC. While en route to Moscow at FL340, a 41-year old male passenger claiming to be armed ordered the flight crew to divert to Afghanistan. At 10:22 UTC the pilots squawked 7600 (lost communications) on their transponder. The aircraft landed safely at Khanty-Mansiysk at 11:17 UTC. After landing, security forces stormed the plane and detained the man. He was in a state of intoxication; he was not armed. On August 28, 2019, the Ugra court sentenced the hijacker to compulsory treatment in a psychiatric hospital.Sources: Aeroflot  e1.ru History of this aircraft Other occurrences involving this aircraft ï»¿  24 January 2025 RA-73116 Aeroflot 0 Astrakhan Oblast unk Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190122-0"
"21:34","    de Havilland Canada DHC-8-102 Dash 8","Wednesday 23 January 2019","Air Creebec","C-GTCO","119","1988Total airframe hrs:43522 hours","Pratt & Whitney Canada PW120A","0 / Occupants: 9","0","Substantial, repaired","Accident","Rouyn Airport, QC (YUY) -   Canada","Take off","Passenger - Scheduled","Rouyn Airport, QC (YUY/CYUY)","Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL)"," TSB","Accident investigation report completed and information captured","A DHC-8-102 aircraft operated by Air Creebec, was on an instrument flight rules flight 926 from Rouyn-Noranda (CYUY) to MontrÃ©al/Pierre Elliott Trudeau Intl (CYUL) with 3 crew members and 6 passengers on board. During the take-off run from runway 26 at CYUY, the aircraft began to veer to the left.  It continued to do so until the left main landing gear rolled off the surface of the runway and hit a snow windrow 5 feet beyond the edge of the runway. The aircraft continued to veer to the left and came to rest in a compacted snowbank 40 feet from the runway. One of the passengers received minor injuries. The aircraft sustained substantial damage to the fuselage, landing gear, and propellers. The accident occurred during the hours of darkness, when visibility was reduced to approximately 2 statute miles in snow showers. Findings as to causes and contributing factors: 1. The pilot flying did not look far enough ahead for long enough to notice that the aircraft was deviating to the left before veering off the runway. 2. Given that the pilot monitoring was not looking out the window to monitor the aircraftÂs path, he did not notice the deviation and was therefore unable to help the pilot flying correct the deviation in the path during the take-off roll. 3. The strong authority gradient between the pilots reduced the effectiveness of monitoring, which resulted in a failure to detect and correct the deviation from the departure path. 4. During the takeoff-rejection procedure, the pilot flying accidentally caught the right engine power lever with his finger, pushing the lever completely forward, and placed only the left lever in the idle position, which produced a significant dissymmetry in the torque and accentuated the deviation from the path, resulting in the runway excursion. 5. Since the pilot flying was able to place only 1 power lever in the idle position, it is highly likely that he did not have his right hand on the levers, contrary to what is stated in the standard operating procedures. Consequently, he was not ready to quickly and safely reject the takeoff.Accident investigation:   Investigating agency: TSB Report number: A19Q0010 Status: Investigation completedDuration: 1 year 1 monthDownload report:  Final report Sources: TSB A19Q0010   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":63,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190123-0"
"11:00","    Airbus A321-231","Saturday 26 January 2019","Onur Air","TC-OEB","968","1999","IAE V2533-A5","0 / Occupants: 0","0","Substantial, written off","Other","Antalya Airport (AYT/LTAI) -   Türkiye","Standing","-","-","Antalya Airport (AYT/LTAI)",NA,NA,"A thunderstorm with strong winds and a tornado caused several injuries as well as damage to aircraft, vehicles and airport equipment at Antalya Airport, Turkey.  An Onur Air Airbus A321 (TC-OEB) suffered serious impact damage to the nose cone and right hand forward fuselage.METAR: 07:20 UTC / 10:20 local time: LTAI 260720Z 15024G35KT 1600 R36C/0750D R18C/1500D R36R/1100D R18L/1100U -TSRA BLDU SCT015CB BKN025 15/10 Q1003 RETSRA NOSIG07:50 UTC / 10:50 local time: LTAI 260750Z 16028G45KT 1600 R36C/1100D R18C/1200N R36R/1200D R18L/1100U -TSRA BLDU SCT015CB BKN025 15/09 Q1004 NOSIG RMK RWY18C 15030G48KT RWY36R 16027G40KT RWY18L 16027G39KT 08:20 UTC / 11:20 local time: LTAI 260820Z 19028G39KT 1600 R36C/1000D R18C/1000N R36R/1000N R18L/0700U +TSRA BLDU SCT015CB BKN025 11/07 Q1005 BECMG NSW 08:50 UTC / 11:50 local time: LTAI 260850Z 18013KT 140V220 1600 R36C/P1500U R18C/1500N R36R/1500N R18L/0600U +TSRA BLDU SCT015CB BKN025 13/11 Q1005 BECMG 15025G40KT NSW 09:20 UTC / 12:20 local time: LTAI 260920Z 17020G30KT 2000 R36C/1000N R18C/1000N R36R/1000N R18L/0450D -TSRA BLDU SCT015CB BKN025 09/06 Q1005 RETSRA NOSIG RMK RWY18C 16018KT RWY36R 17019KT RWY18L 16020KT 09:50 UTC / 12:50 local time: LTAI 260950Z 18022G35KT 2000 R36C/1000N R18C/1000N R36R/1000N R18L/0400U -TSRA BLDU SCT015CB BKN025 13/08 Q1004 WS ALL RWY NOSIG Sources: AirportHaber  Images: photo (c) Raitis Misa; Antalya Airport (AYT/LTAI); 22 June 2019 photo (c) Marvin Mutz; DÃ¼sseldorf International Airport (DUS/EDDL) [D]; 31 July 2018; (CC:by-sa) Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20190126-0"
