"Time","Type","Date","Owner.operator","Registration","MSN","Engine.model","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Investigating.agency","Confidence.Rating","Narrative","Year.of.manufacture","detail_link"
"13:00 LT","    Cessna 550 Citation II","Saturday 1 January 2000","US Customs Service","N752CC","550-0018Total airframe hrs:12159 hours","P&W JT15D-4","0 / Occupants: 3","0","Substantial","Accident","HOMESTEAD, Florida -   United States of America","Unknown","Ferry/positioning","MIAMI          , FL (KTMB)","(KHST)"," NTSB","Accident investigation report completed and information captured","The pilot-in-command (PIC) stated he was in cruise flight at 1,000 feet, 200 knots, 5 miles from the destination airport when the airplane experienced an in-flight collision with a bird on the leading edge of the right wing. The PIC notified the control tower and landed without further incident. Probable Cause: An inadvertent in-flight collision with a bird in cruise flight resulting in substantial damage to the airplane.Accident investigation:   Investigating agency: NTSB Report number: MIA00LA063 Status: Investigation completedDuration: 11 monthsDownload report:  Final report Sources: NTSB MIA00LA063 Revision history:Date/timeContributorUpdates16-Oct-2022 06:21 ASN Update Bot Added Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":60,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿",NA,"https://aviation-safety.net/wikibase/299408"
"","    Beechcraft 200 Super King Air","Monday 3 January 2000","Kalahari Air Services & Charter","A2-AEZ","BB-421",NA,"/ Occupants:","0","Destroyed, written off","UK","unknown location -   Unknown country","Unknown","Unknown","","",NA,"Little or no information is available","Damaged beyond repair.Sources: Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":158,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1978","https://aviation-safety.net/database/record.php?id=20000103-0"
"13:25","    Embraer EMB-110P1A Bandeirante","Wednesday 5 January 2000","Skypower Express Airways","5N-AXL","110455","Pratt & Whitney Canada PT6A-34","1 / Occupants: 13","1","Destroyed, written off","Accident","Abuja International Airport (ABV) -   Nigeria","Approach","Passenger - Scheduled","Lagos-Murtala Muhammed International Airport (LOS/DNMM)","Abuja International Airport (ABV/DNAA)",NA,"Information verified through data from accident investigation authorities","The Bandeirante aircraft was coming in to land at Abuja Nnamdi Azikiwe International Airport when it probably stalled before crashing into farmland some 400 feet short of runway 22. One person one the ground received fatal injuries.Sources: ICAO Adrep  Michel/Scramble  The Guardian (Nigeria)  Tommy Maurer  World Airline Fleets   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1984","https://aviation-safety.net/database/record.php?id=20000105-0"
"","    Antonov An-26","Friday 7 January 2000","Unknown","D2-FBR","7206","Ivchenko AI-24","/ Occupants: 8","0","Aircraft missing, written off","Accident","-   Angola","Unknown","Cargo","Luanda-4 de Fevereiro Airport (LAD/FNLU)","Cafunfo Airport (CFF/FNCF)",NA,NA,"Disappeared near the border of the Angolan provinces of Malanje and Lunda Norte.Sources: Michael Roch   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":53,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1978","https://aviation-safety.net/database/record.php?id=20000107-0"
"15:44","    Beechcraft 100 King Air","Friday 7 January 2000","North-Wright Airways","C-GXVX","B-18",NA,"0 / Occupants: 2","0","Substantial","Accident","Inuvik, NT -   Canada","Landing","Training","Inuvik, NT","Inuvik, NT",NA,"Information verified through data from accident investigation authorities","NWL100, a Beech King Air with 2 crew, was training at Inuvik. The aircraft landed on Runway 23 with the gear up and came to rest approximately 1000 feet from the threshold of Runway 05. It was reported that the aircraft sustained damage to the props and belly and the engines received shock damage. Weather was not a factor. The crew forgot to extend the gear.Sources: Transport Canada Revision history:Date/timeContributorUpdates22-Sep-2024 06:28 ASN Added 22-Sep-2024 11:21 ASN Updated [Operator, Location, Departure airport, Destination airport, Source, Narrative, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":51,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1970","https://aviation-safety.net/wikibase/431833"
"18:00","    Boeing 747-230F","Sunday 9 January 2000","Korean Air","HL7441","20373/168","Pratt & Whitney JT9D-7A","0 / Occupants: 3","0","Substantial, repaired","Accident","near Penang International Airport (PEN) -   Malaysia","Approach","Cargo","Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS)","Penang International Airport (PEN/WMKP)",NA,NA,"On approach to Penang runway 22, the aircraft lost a flap section. The flap punctured the fuselage, causing a 1 m-wide hole.Sources: Seattle Post-Intelligencer  The Star Online  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":10,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1972","https://aviation-safety.net/database/record.php?id=20000109-0"
"17:56","    Saab 340B","Monday 10 January 2000","Crossair","HB-AKK","340B-213","General Electric CT7-9B","10 / Occupants: 10","0","Destroyed, written off","Accident","near Nassenwil, 1.5 km W of ZÃ¼rich-Kloten Airport -   Switzerland","En route","Passenger - Scheduled","ZÃ¼rich-Kloten Airport (ZRH/LSZH)","Dresden Airport (DRS/EDDC)"," BFU Switz.","Accident investigation report completed and information captured","At 17:00 Saab 340 HB-AKK arrived at Zurich, Switzerland following a flight from Guernsey. The aircraft was then prepared for Crossair flight 498 to Dresden. Germany. Taxi clearance was given at 17:50 and the crew taxied to runway 28. The crew expected to be cleared for a standard instrument departure SID ZUE 1Y. This procedure calls for the aircraft to climb straight ahead heading 280 and then make a left turn to cross overhead the airport at the KLO VOR and then assume a heading of 054Â° onto airway R234 to the Zurich East (ZUE) beacon. At 17:54 the aircraft was cleared for takeoff. Takeoff and climb were conducted with flaps at 0 degrees, which is normal for a Saab 340 departing from runway 28. The aircraft climbed normally at 136 knots IAS. After retracting the gear the Flight Director was switched on. While climbing through 2500 feet QNH the crew switched to Zurich Departure Control and were recleared to climb to FL110. At 17:55 the crew were cleared to make a left turn to intercept airway R234. A left turn was initiated, during which the first officer entered a command in the Flight Management System (FMS) to ZUE. The command ""direct to (DTO) Â left Â ZUE"" however was programmed only as ""direct to Â ZUE"". The programming was performed by the first officer alone, without the prescribed monitoring and checking by the captain. The latter was absorbed in manually flying the aircraft.  After having turned left for 7 seconds the captain started a right turn, consistent with Flight Director commands generated by the FMS for a 'direct to ZUE' as the right hand turn was the shortest.  In clouds the aircraft continued a right roll, which at 17:56:14 reached a right bank angle of 65.8Â°. The first officer advised the captain that the aircraft should actually turn to the left. This was also noted by the Zurich departure controller at 17:56:20, who asked the crew about the direction of the turn. The first officer replied: ""Moment please, stand by"". Upon which the Departure controller recleared the flight to continue the right turn direct to ZUE. By then the pitch had also decreased rapidly, accompanied by a marked speed increase and the Saab entered a high speed high-rate spiral descent. At 17:56:28 the aircraft crashed in an open field. Weather reported included temperature 2deg C; dew point 1deg C; 1032 mB wind WNW/3 knots and light drizzle. CAUSES: ""The accident is attributable to a collision with the ground, after the flight crew had lost control of the aircraft for the following reasons: - The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. - The co-pilot made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. - The commander dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. - The commander took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. - The first officer took only inadequate measures to prevent or recover from the spiral dive. The following factors may have contributed to the accident: - The commander remained unilaterally firm in perceptions which suggested a left turn direction to him. - When interpreting the attitude display instruments under stress, the commander resorted to a reaction pattern (heuristics) which he had learned earlier. - The commanderÂs capacity for analysis and critical assessment of the situation were possibly limited as a result of the effects of medication. - After the change to standard instrument departure SID ZUE 1Y the crew set inappropriate priorities for their tasks and their concentration remained one-sided. - The commander was not systematically acquainted by Crossair with the specific features of western systems and cockpit procedures.""Accident investigation:   Investigating agency: BFU Switz. Report number: No 1781 Status: Investigation completedDuration: 4 years and 3 monthsDownload report:  Final report Sources: SKYbraryÂ    Location  Images: photo (c) Aviation Safety Network photo (c) Harro Ranter; ZÃ¼rich-Kloten Airport (ZRH); 31 August 1996; (CC:by-nc-nd) Revision history:Date/timeContributorUpdates11-May-2024 16:23 RichT Updated [Location, Narrative, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1990Total airframe hrs:21674 hoursCycles:20587 flights","https://aviation-safety.net/database/record.php?id=20000110-0"
"22:51 LT","    Boeing 757-2G7","Tuesday 11 January 2000","America West Airlines","N909AW","24522/252","Rolls-Royce RB211-535E4","0 / Occupants: 44","0","None","Accident","Las Vegas, NV -   United States of America","En route","Passenger - Scheduled","Columbus, OH ( CMH)","(KLAS)"," NTSB","Accident investigation report completed and information captured","One flight attendant sustained serious injuries and another sustained minor injuries when the airplane encountered moderate to severe turbulence while in cruise flight at 35,000 feet.  Approximately 2 hours from landing, the flight crew called the flight attendants to inform them that turbulence was expected (based on ATC ride reports) and to secure the cabin and galleys.  The flight crew said the airplane had been slowed to 0.78 Mach when turbulence was encountered.  One flight attendant, now in seat 34C, did not fasten her seatbelt immediately.  She was lifted into the air during the encounter.  She hit the overhead compartment and fell on an armrest and then to the floor. Probable Cause: Encounter with Clear Air Turbulence.  Poor communication between the captain and flight attendants as to the urgency for the flight attendants to take their seats was a contributing factor.Accident investigation:   Investigating agency: NTSB Report number: LAX00LA072 Status: Investigation completedDuration: 1 year and 7 monthsDownload report:  Final report Sources: NTSB LAX00LA072  Location  Revision history:Date/timeContributorUpdates03-May-2024 10:38 ASN Update Bot Added Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":57,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1989","https://aviation-safety.net/wikibase/387591"
"14:38","    Shorts 360-300","Thursday 13 January 2000","Sirte Oil Company, lsf Avisto","HB-AAM","SH.3763","Pratt & Whitney Canada PT6A-67R","22 / Occupants: 41","0","Destroyed, written off","Accident","5 km off Marsa el-Brega -   Libya","Approach","Passenger - Non-Scheduled/charter/Air Taxi","Tripoli International Airport (TIP/HLLT)","Marsa el-Brega Airport (LMQ/HLMB)"," CAA Libya","Accident investigation report completed and information captured","The Shorts 360 plane had been leased to Sirte Oil Co in Libya to transport workers between its headquarters and various oil fields.  The aircraft departed Tripoli at 12:29. En route to Marsa el-Brega the crew noted a fuel imbalance and did a cross feed until fuel was balanced again at 14:17. The descent from FL70 was started at 14:25. Eleven minutes later both engines flamed out. The aircraft was ditched off the Libyan coast in a 10deg nose up attitude. The tail broke off and the wreckage sank inverted to a depth of 38 m, about 3 miles from the coast.  According to the Libyan investigation report, the first officer and co-pilot, who both survived, were so busy talking about how to fly the Fokker F-28 aircraft that they failed to switch on the anti-icing system for the engines as weather conditions deteriorated. As the aircraft came in to land, ice that had been allowed to build up melted, flooding the engines and cutting off the power. A device that might have restarted the engines was not switched on. There were no lifejackets on board and many of the dead drowned because they were unaware that their seat cushions doubled as floats. PROBABLE CAUSES:  -  ""melting of ice formed at engines intake resulted in ware ingestion and both engine flame out. -  flight crew failed to operate engine anti-icing system. -  flight crew were busy with a discussion not relevant to their flight or the a/c.""Accident investigation:   Investigating agency: CAA Libya Report number: final report Status: Investigation completedDuration: Download report:  Final report Sources: SKYbraryÂ    Location  Images: photo (c) Markus Herzig, via Peter Frei; Berne-Belp Airport (BRN); 04 October 1990 photo (c) via Werner Fischdick; Basel/Mulhouse Airport (BSL/LFSB); September 1999 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":1,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1990Total airframe hrs:7138 hours","https://aviation-safety.net/database/record.php?id=20000113-0"
"14:30","    Hawker Siddeley HS-748-285 Srs. 2A","Friday 14 January 2000","TAME Ecuador","HC-BEY","1739","Rolls-Royce Dart 534-2","0 / Occupants:","0","Substantial, repaired","Accident","Guayaquil-Simon Bolivar Airport (GYE) -   Ecuador","Taxi","Military","Guayaquil-Simon Bolivar Airport (GYE/SEGU)","",NA,"Accident investigation report completed and information captured","A Hawker Siddeley HS-748 transport plane sustained substantial damage in a ground accident at Guayaquil-Simon Bolivar Airport (GYE), Ecuador. The airplane began to taxy from its position on the platform when it struck an ground power unit with its no. 1 engine. Propeller blades were damaged and shrapnel penetrated the fuselage of the airplane. PROBABLE CAUSE: ""The pilot's haste and distraction by starting to taxi on the platform.""Sources: Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":46,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","1976Total airframe hrs:867 hours","https://aviation-safety.net/database/record.php?id=20000114-1"
