"Time","Type","Date","Owner.operator","Registration","MSN","Year.of.manufacture","Engine.model","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Investigating.agency","Confidence.Rating","Narrative","detail_link"
"20:20 UTC","    ATR 42-500","Friday 6 January 2012","TRIP Linhas AÃ©reas","PR-TKB","610","2001","P&W Canada PW127","0 / Occupants: 17","0","None","Accident","near Guarulhos, SP -   Brazil","En route","Passenger - Scheduled","Joinville-Lauro Carneiro de Loyola Airport, SC (JOI/SBJV)","SÃ£o Paulo-Guarulhos International Airport, SP (GRU/SBGR)"," CENIPA","Accident investigation report completed and information captured","TRIP Linhas AÃ©reas flight TIB5333, an ATR 42-500, was passing FL110 (descending) while performing the RONUT1 STAR procedure into SBGR, its TCAS equipment delivered a Traffic Advisory message followed by a Resolution Advisory message. The crew made the prescribed maneuvers for preventing an air traffic conflict. During the maneuver, a female passenger, who was standing near the lavatory, fell on the floor and ended up being injured. After the aircraft landed, the passenger was taken to the INFRAERO medical unit in SBGR and later transported to the Hospital of Guarulhos, where she was diagnosed to have suffered fractures in her right foot and ankle.Accident investigation:   Investigating agency: CENIPA Report number:  Status: Investigation completedDuration: Download report:  Final report Sources: A-582/CENIPA/2014 History of this aircraft Other occurrences involving this aircraft ï»¿  30 May 2014 PR-TKB TOTAL Linhas AÃ©reas 0 Coari-Urucu Airport, AM sub Revision history:Date/timeContributorUpdates15-Jul-2023 06:07 harro Updated Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":45,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/317445"
"07:20","    Xian MA60","Monday 9 January 2012","Transporte AÃ©reo Militar - TAM","FAB-96","0503","2007",NA,"0 / Occupants: 21","0","Substantial, repaired","Accident","Guayaramerin Airport (GYA) -   Bolivia","Landing","Military","Riberalta-Gen Buech Airport (RIB/SLRI)","GuayaramerÃ­n Airport (GYA/SLGY)",NA,"Information is only available from news, social media or unofficial sources","A Xian MA60 was damaged in a gear-up landing on runway 34 at Guayaramerin Airport (GYA), Bolivia. None of the sixteen passengers and five crew members were injured. The airplane operated on a flight from Riberalta. This same airplane was involved in a wheels-up landing at Rurrenabaque on March 11, 2011.Sources: Un aviÃ³n de TAM aterriza de ÂpanzazoÂ en aeropuerto de GuayaramerÃ­n (Erbol, 9-1-2012) History of this aircraft Other occurrences involving this aircraft ï»¿  18 March 2011 FAB96 Transporte AÃ©reo Militar (TAM) 0 Rurrenabaque Airport (RBQ/SLRQ) min Gear-up landing Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120109-0"
"19:55","    Let L-410UVP-E9","Thursday 12 January 2012","Blue Sky Aviation","5Y-BSA","892323","1989","Walter M-601E","0 / Occupants: 6","0","Substantial, written off","Accident","Kichwa Tembo Airstrip -   Kenya","Take off","Passenger - Scheduled","Kichwa Tembo Airstrip","Musiara Airstrip",NA,"Information verified through data from accident investigation authorities","A Let L-410UVP-E9 passenger plane sustained substantial damage in a runway excursion accident at Tembo, Kenya. The four passengers and two pilots survived. The aircraft left Mombasa-Moi International Airport to drop and pick up passengers at several airstrips in the Masai Mara game reserve. The crew had a day stop in Olkiombo Airstrip before beginning their usual pick-up routine before returning back to Mombasa. The crew testified to have topped up 200 litres of fuel before departing Olkiombo for Kicha Tembo airstrip where they were to pick up four passengers and another 15 passengers from Musiara Airstrip. The first officer reported to have put one large bag at the nose luggage compartment while the rest of the lighter luggage was place at the rear luggage compartment. On the take off roll on Tembo's runway 08, the first officer, who was Pilot Flying, reported to have hit a bump half way down the runway and bounced.  The aircraft hit a second bump and again went airborne prematurely. At that moment the crew reported to have heard a continuous stall warning horn. The pilot flying recalled the pilot monitoring retarding the throttles, an action which made him realize that they were aborting take off. The pilot monitoring reported that there was a bit of tug on the controls between the two of them with the first officer (PF) pushing the control column down for a nose down attitude and the captain (PNF) trying to ease the force on the control column. With very little runway length left, the aircraft veered to the right at the end of the runway and came to a stop approximately 300 meters from the threshold of runway 26. The nose gear assembly was ripped off by the rough terrain and the rest of the aircraft ploughed through the grass for another approximately 10 meters. The aircraft front belly section was severely damaged.Sources: Preliminary accident report  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120112-0"
"07:00 LT","    de Havilland Canada DHC-8-402Q Dash 8","Monday 16 January 2012","Flybe","G-JEDO","4079",NA,"P&W Canada PW150","0 / Occupants: 70","0","Minor, repaired","Accident","Southampton International Airport, Eastleigh, Southampton, Hampshire -   United Kingdom","Pushback / towing","Passenger - Scheduled","Southampton-Eastleigh Airport (SOU/EGHI)","Glasgow International Airport (GLA/EGPF)"," AAIB","Accident investigation report completed and information captured","At 06:53, before daylight, DHC-8-402Q G-ECOO requested and received permission from ATC to push back and start from Stand 9, to face north and to hold south of Bravo One Taxiway (approximately abeam Stand 7). This was a non-standard pushback to allow a Jetstream 41 on Stand 11 to taxi out via Bravo One, to Runway 02. This was completed without incident, the tug was then disconnected and all personnel and equipment cleared from the area. One minute later the Jetstream 41, having already started its engines on stand, requested and received permission to power back from Stand 111. At the end of the manoeuvre it stopped on Taxiway Alpha abeam Stand 10 and Stand 11. When DHC-8-402Q G-JEDO requested permission to push back and start from Stand 6; ATC instructed it to âSTANDBYâ. The Jetstream 41 was then given permission to taxi via Holding Point Bravo One, back track, line up and takeoff from Runway 02. G-JEDO was given permission for a standard pushback and start from Stand 62. In attendance were a headset operative and a wingman positioned to the south of the aircraft, and the tug driver. Prior to commencing the pushback the headset operative indicated the direction of the pushback to the tug driver using hand signals. Two minutes later, having seen that the tug was disconnected from G-ECOO,  ATC asked the pilots if they were ready to taxi; they replied they would be in about 30 seconds. ATC replied, âTAXI PLEASE WHEN READY [HOLDING POINT] BRAVO ONEâ. The wingman had by then left Stand 6 for another task. As G-JEDOâs pushback neared completion it slowed and then stopped on a heading of approximately 220Âº. The headset operative asked the commander to confirm that the aircraftâs brakes were OFF, which they were, then reported that they could not push the aircraft any further and asked for the aircraftâs brakes to be set ON. A passing Airside Operations vehicle reported to ATC that there was an âAIRCRAFT TO AIRCRAFT CONFLICT ON STAND 6.â G-ECOO then transmitted to ATC âWE JUST FELT A BUMPâ and asked for confirmation that they had been hit. After photographic evidence had been acquired, both aircraft were pulled back onto stand.  G-JEDO sustained damage to its right elevator, G-ECOO sustained damage to its tail cone Accident investigation:   Investigating agency: AAIB Report number: EW/G2012/01/06 Status: Investigation completedDuration: Download report:  Final report Sources: 1. AAIB: https://assets.publishing.service.gov.uk/media/5422ec8140f0b61346000109/DHC-8-402_Dash_8_G-JEDO_G-ECOO_10-12.pdf  2. CAA: https://siteapps.caa.co.uk/g-info/  3. https://www.portsmouth.co.uk/news/flights-delay-as-planes-collide-at-airport-1-3424948  4. http://www.airnewstimes.co.uk/southampton-airport-flight-delays-after-ground-collision-13563-news.html History of this aircraft Other occurrences involving this aircraft ï»¿  18 March 2017 5N-BPU Aero Contractors 0 80 NM from Port Harcourt non Fumes/smoke/odor event Revision history:Date/timeContributorUpdates16-Jan-2012 08:54 gerard57 Added 16-Jan-2012 09:00 gerard57 Updated [Aircraft type, Source, Narrative, ]16-Jan-2012 10:38 gerard57 Updated [Aircraft type, ]16-Jan-2012 11:06 Penu Updated [Time, Location, Departure airport, ]16-Jan-2012 11:38 Anon. Updated [Destination airport, ]16-Jan-2012 12:20 harro Updated [Aircraft type, ]15-May-2013 12:27 Dr. John Smith Updated [Registration, Cn, Source, Embed code, Narrative, ]11-Sep-2015 04:14 Dr. John Smith Updated [Time, Location, Source, Narrative, ]11-Sep-2015 06:21 Dr. John Smith Updated [Phase, ]25-Jan-2016 11:38 AF5541 Updated [Total occupants, Narrative, ]18-Dec-2016 21:08 Dr. John Smith Updated [Departure airport, Destination airport, Source, Narrative, ]31-Oct-2024 08:11 ASN Updated [Other fatalities, Departure airport, Destination airport, Narrative, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":9,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/141916"
"07:00","    de Havilland Canada DHC-8-102A","Monday 16 January 2012","Piedmont Airlines","N839EX","226","1990Total airframe hrs:40609 hours","P&W Canada PW120","0 / Occupants: 36","0","Substantial","Accident","Tri-State Airport - KHTS, Huntington, WV -   United States of America","Taxi","Passenger - Scheduled","Huntington, WV (HTS)","Charlotte, NC (CLT)"," NTSB","Accident investigation report completed and information captured","According to the captain and the first officer, they were instructed to taxi the airplane to an unspecified deice area to remove frost from the airframe. As they taxied, a ground crewmember stood by the wing to ensure the airplaneâs clearance from another airlineâs equipment and signaled thumbs up to the flight crew to indicate when they were clear of the equipment. After taxiing a short distance, the flight crew stopped and awaited further instructions from a ramp agent on the radio for positioning the airplane. Unknown to the flight crew, the deicing team misunderstood the thumbs-up signal to mean that deicing could begin. Consequently, they moved into a position behind the airplaneâs left wing and in front of the left horizontal tail. The ramp agent working the radio could not see the airplane from the radio location and, believing it was still at the gate, instructed the flight crew to taxi 50 feet and stop for deicing. The flight crew initiated taxiing and almost immediately felt a bump, colliding with the boom arm of the deice truck. They then stopped the airplane. The deice truck was not equipped for radio communication; therefore, the teamâs movement and position could not be coordinated with the other ground personnel or flight crew.  Probable Cause: The inadequate communication among ground crew personnel, which resulted in the airplaneâs collision with a deice truck.Accident investigation:   Investigating agency: NTSB Report number: ERA12LA147 Status: Investigation completedDuration: 1 year and 7 monthsDownload report:  Final report Sources: NTSB  Location  Revision history:Date/timeContributorUpdates24-Jan-2012 17:22 Geno Added 24-Feb-2012 11:41 Anon. Updated [Aircraft type, ]13-Nov-2012 23:25 Airport FF Updated [Source, Narrative, ]21-Dec-2016 19:26 ASN Update Bot Updated [Time, Damage, Category, Investigating agency, ]27-Nov-2017 17:52 ASN Update Bot Updated [Operator, Other fatalities, Departure airport, Destination airport, Source, Narrative, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/142045"
"17:11","    de Havilland Canada DHC-8-315Q MPA","Wednesday 18 January 2012","Japan Coast Guard","JA720A","651","2007Total airframe hrs:2858 hours","P&W Canada PW123","0 / Occupants: 9","0","Substantial, repaired","Accident","near Kitakojima Island -   Japan","En route","Survey","Okinawa-Naha Airport (OKA/ROAH)","Ishigaki Airport (ISG/ROIG)"," JTSB","Accident investigation report completed and information captured","A Bombardier DHC-8-315, JA720A operated by the Japan Coast Guard (JCG) took off from Naha Airport at 14:48 local time for marine patrol flight over the East China Sea with the destination to Ishigaki Airport. Immediately after the airplane made a left turn near Kitakojima Island, the pilot in command found four birds about 100 m ahead. However, there was no time to avoid the birds; accordingly, the airplane had head-on collision with one of them. The first officer also spotted the birds and tried to inform the captain; however, no time was left for him to do so. The event took place at 17:11 near Kitakojima Island at 1,000 ft when the airplane was flying at 170 kts. The pilot in command looking toward the nose from cockpit confirmed there was damage to the nose. He decided to abort the mission and headed for Ishigaki Airport, the destination. During the flight the indication of the left seat speedometer fluctuated more than that of the right one. Flight control system, engine and electric systems remained normal. The airplane uneventfully landed at the destination at 18:04. PROBABLE CAUSES: ""In this accident the airplane sustained damage due to bird strike at 1,000 ft during marine patrol flight near Kitakojima island.""Accident investigation:   Investigating agency: JTSB Report number: AA2013-1 Status: Investigation completedDuration: 10 monthsDownload report:  Final report Sources: History of this aircraft Other occurrences involving this aircraft ï»¿  23 January 2024 JA720A Japan Coast Guard 0 220 km northeast of Ishigaki island, Okinawa min Images: photo (c) JTSB; Ishigaki Airport (ISG/ROIG); January 2012 photo (c) JTSB; Ishigaki Airport (ISG/ROIG); January 2012 photo (c) JTSB; Ishigaki Airport (ISG/ROIG); January 2012 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120118-0"
"","    Canadair CL-600-2B19 Regional Jet CRJ-200ER","Tuesday 24 January 2012","Pinnacle Airlines","N8524A","7524","2001","General Electric CF34-3B1","0 / Occupants:","0","Substantial, written off","Other","Providence-Theodore Francis Greene State Airport, RI (PVD) -   United States of America","Standing","-","-","-",NA,"Information is only available from news, social media or unofficial sources","A Canadair CRJ-200ER passenger jet sustained substantial damage to the electrical system while parked at Providence Airport, RI (PVD). Apparently there was a fire involving a piece of ground equipment which caused the damage to the electrical system. The exact date of the occurrence is unknown. First reports of the occurrence are from April 12, 2012, suggesting it happened in March. The final flight of N8524A logged by Flightaware.com is a January 23 night flight to Providence. The airplane was stored on the cargo apron at Providence in May 2012 with both engines removed.Sources: Flickr photo of N8524A in storage  PVD Airport Yahoo Groups  Images: photo (c) Timo Blossfeld; Minneapolis-St. Paul International Airport, MN (MSP/KMSP); 05 October 2006 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":43,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120124-1"
"08:28","    McDonnell Douglas DC-9-83 (MD-83)","Tuesday 24 January 2012","Gryphon Airlines, lsf Swiftair","EC-JJS","49793/1656","1989","Pratt & Whitney JT8D-219","0 / Occupants: 91","0","Substantial, written off","Accident","Kandahar Airport (KDH) -   Afghanistan","Landing","Passenger - Scheduled","Dubai Airport (DXB/OMDB)","Kandahar Airport (KDH/OAKN)"," CIAIAC","Accident investigation report completed and information captured","A McDonnell Douglas MD-83 passenger plane, EC-JJS, sustained substantial damage in a landing accident at Kandahar Airport (KDH), Afghanistan. The airplane was operated by Swiftair under an ACMI arrangement with Gryphon Airlines.  Flight SWT094 departed Dubai Airport (DXB) at 06:08 local time on a scheduled service to Kandahar with the first officer as pilot flying. The en route part of the flight was uneventful. Kandahar approach cleared them for an RNAV (GPS) approach to runway 05, providing a direct vector to the FALOD Initial Approach Fix and to descend to 6000 ft. Runway in use was runway 05, and wind was reported from 060Â° at 17 kt gusting to 24 kt, visibility 1200 m, scattered clouds at 2700 ft and broken clouds at 3000 ft, temperature 1Â°C, dewpoint -7Â°C and QNH 1018 mbar.  The target speed associated with a landing weight of 136,000 lb was estimated at 140 KIAS (Vref 135 +5). At a radio altitude of 1000 feet the airplane was fully configured for landing with flaps 40 and landing gear down. The heading was within margins but the speed was 192 kts. It should have been between Vref (135 knots) and Vref+20 (155 knots). Also, the airplane was above the theoretical glide slope. It was also descending at a rate well in excess of 1000 ft/min. The approach was not stabilized at this point. Since the captain had more operational experience at the Kandahar, he decided to take over the controls and fly the last phase of the approach. The PAPI was out of service, meaning they only had visual references to the runway and above the ground during the final part of the approach. During short final the captain corrected a deviation from the runway centerline by adjusting the flight path from right to left. During the flare, the crew noticed the airplane was shifting to the left, threatening to take them off the runway, as a result of which the captain applied a +20Â° right bank angle at a +9Â° pitch angle. This caused the right wing tip to strike the ground before the wheels made contact with the ground. Touchdown speed was 122 knots, which was below Vref as well as the target speed . The captain regarded the maneuver as a hard landing, although the first officer thought they might have struck the runway. On exiting the runway, the airport control tower ordered the crew to stop and informed them of the damage they experienced. The wing had contacted the ground some 20 m prior to the threshold, resulting in five threshold lights being destroyed by the aircraft. CAUSES: The accident was likely caused by the failure to observe the company's operating procedures and not executing a go-around when the approach was clearly not stabilized. Moreover, the operator lacked the authorization (and the crew the training) to carry out the RNAV (GPS) approach maneuver that was conducted at RWY 05 of the Kandahar Airport. Contributing to the accident was: - The inoperable status of the PAPI at runway 05 of the Kandahar Airport, which was thus unable to aid the crew to establish the aircraft on the correct descent slope.Accident investigation:   Investigating agency: CIAIAC Report number: EXT A-001/2012 Status: Investigation completedDuration: 1 year and 9 monthsDownload report:  Final report Sources: SKYbraryÂ    Location  Images: photo (c) Werner Fischdick; DÃ¼sseldorf Airport (DUS/EDDL); 18 July 2010 photo (c) Remo Garone; GenÃ¨ve-Cointrin Airport (GVA/LSGG); 15 December 2010 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":9,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120124-0"
"08:45","    Antonov An-28","Monday 30 January 2012","TRACEP-Congo Aviation","9Q-CUN","1AJ006-11","1989",NA,"3 / Occupants: 5","0","Destroyed, written off","Accident","10 km from Namoya -   Congo (Democratic Republic)","Approach","Cargo","Bukavu-Kamenbe Airport (BKY/FZMA)","Namoya Airstrip",NA,"Information is only available from news, social media or unofficial sources","An Antonov 28 airplane was destroyed in an accident near Namoya, D.R. Congo. Two of the five occupants survived the accident The airplane departed Bukavu (BKY) at 07:45 on a domestic flight to Namoya. The plane failed to arrive and a search was initiated. The wreckage was found the next day. Namoya is located in a gold mining area in Maniema Province. The manufacturer reported that the airworthiness of this aircraft (9Q-CUN, msn 1AJ006-11) had expired on June 12, 1993.Sources: Washington Post  Radio Okapi  RIA Novosti   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":44,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20120130-0"
"20:00 LT","    Boeing 747-412F","Tuesday 31 January 2012","El Al Israel Airlines","4X-ELF","26563/1036","1994",NA,"0 / Occupants: 2","0","Substantial","Accident","Tel Aviv -   Israel","Unknown","Unknown","","",NA,"Accident investigation report completed and information captured","Sources: NTSB DCA12WA032 History of this aircraft Other occurrences involving this aircraft ï»¿  8 September 2022 TF-AMC Magma Aviation, opb Air Atlanta Icelandic 0 Waremme, LiÃ¨ge min Revision history:Date/timeContributorUpdates25-Mar-2023 11:00 ASN Update Bot Added Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":7,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/309595"
