"Time","Type","Date","Owner.operator","Registration","MSN","Year.of.manufacture","Engine.model","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Investigating.agency","Confidence.Rating","Narrative","detail_link"
"17:42","    Airbus A320-216","Monday 2 January 2017","Thai Air Asia","HS-ABB","3299","2007","CFMI CFM56-5B6","0 / Occupants: 124","0","Substantial","Accident","Khon Kaen Airport (KKC/VTUK) -   Thailand","Landing","Passenger - Scheduled","Bangkok-Don Muang International Airport (DMK/VTBD)","Khon Kaen Airport (KKC/VTUK)"," AAIC Thailand","Information verified through data from accident investigation authorities","Thai AirAsia flight FD3256, a Airbus A320-216, suffered a tail strike during landing on runway 03 at Khon Kaen Airport, Thailand.Accident investigation:   Investigating agency: AAIC Thailand Report number:  Status: Preliminary reportDuration: Download report:  Preliminary report Sources: https://bea.aero/en/investigation-reports/notified-events/detail/accident-to-the-airbus-a320-registered-hs-abb-operated-by-thai-air-asia-occured-on-01-02-2017-at-khon-kaen-investigation-led-by-aib---thailand/ Revision history:Date/timeContributorUpdates13-Apr-2023 16:55 harro Added 15-Dec-2024 17:47 ASN Updated [Time, Total occupants, Narrative, Accident report, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/310960"
"16:43","    Hawker 800XP","Monday 2 January 2017","Pinnacle Air Charter","N910JD","258420","1999","Honeywell TFE731-SER","0 / Occupants: 2","0","Substantial, repaired","Accident","Scottsdale Airport, AZ (SCF) -   United States of America","Landing","Private","Tucson International Airport, AZ (TUS/KTUS)","Scottsdale Airport, AZ (SCF/KSDL)",NA,"Information verified through data from accident investigation authorities","A Hawker 800XP, N910JD sustained substantial damage when the nose landing gear collapsed during a landing roll at Scottsdale Airport (SDL), Arizona. The two pilots were not injured. The airplane was registered to Zoom Aviation, LLC, and operated by Pinnacle Air Charter, LLC. Visual meteorological conditions prevailed for the flight, which operated on an instrument rules flight plan. The flight originated from Tucson International Airport, Arizona at 15:32. The pilot reported that, during the approach to Scottsdale, the nose landing gear light was red, which indicated that it was not down and locked. In order to assess the situation, the pilot exited the traffic pattern, and referred to the emergency checklist. After using the hand pump to lower the landing gear manually, the red light still indicated that the gear was up. The pilot asked the tower for a landing gear check and the tower replied that it appeared it was down and straight. The pilot executed a normal landing, and as the airplane started to slow down, about 35-40 knots, the nose gear collapsed. The airplane came to rest about 50 yards down the runway from the location where the nosegear collapsed.Sources: NTSB  Flightaware   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170102-2"
"12:20","    Let L-410UVP","Monday 2 January 2017","Doren Air Congo","9Q-CZR","851336","1985",NA,"0 / Occupants: 2","0","Substantial","Accident","Shabunda Airport -   Congo (Democratic Republic)","Landing","Cargo","Bukavu-Kavumu Airport (BKY/FZMA)","Shabunda Airport (FZMW)",NA,"Information is only available from news, social media or unofficial sources","A Let L-410 cargo plane, operated by Doren Air Congo, suffered a runway excursion accident after landing at Shabunda Airport, D.R. Congo. Local media reported that the aircraft suffered a tire failure. The aircraft carried 1300 kgs of cargo.Sources: Interkinois.org  Images: photo (c) via Werner Fischdick; HoleÅ¡ov Airport (GTW/LKHO); October 1996 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":9,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170102-1"
"","    Reims Cessna F406 Caravan II","Monday 2 January 2017","Air Excel","5H-WOW","F406-0060","1991",NA,"0 / Occupants: 6","0","Substantial","Accident","Sasakwa Airstrip -   Tanzania","Unknown","Passenger","","",NA,"Information is only available from news, social media or unofficial sources","Local media in Tanzania report that an Air Excel aircraft was involved in an accident at Sasakwa Airstrip in Northern Tanzania. The aircraft reportedly caught fire. Some survivors sustained serious injuries and were evacuated by AMREF Flying Doctors.Sources: Dar Post   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170102-0"
"17:51","    Boeing 777-228ER","Tuesday 3 January 2017","Air France","F-GSPP","30615/327","2001",NA,"0 / Occupants:","0","Substantial, repaired","Accident","TorontoâLester B. Pearson International Airport, Ontario (YYZ) -   Canada","Standing","Passenger - Scheduled","Toronto-Pearson International Airport, ON (YYZ/CYYZ)","Paris-Charles de Gaulle Airport (CDG/LFPG)",NA,"Information verified through data from accident investigation authorities","Pakistan International Airlines flight PK789, a Boeing 777-200LR (AP-BGY), contacted a parked Air France Boeing 777-200ER (F-GSPP) while taxiing to Gate C33 at Toronto International Airport in Canada. The aircraft's right hand wing tip scraped the wing tip of the Air France aircraft, causing minor damage. Flight PK789 had just arrived after a flight from Karachi and Lahore, Pakistan. The Air Fance 777, flight AF356, had arrived an hour earlier after a flight from Paris-CDG. It was being prepared for the return leg to Paris as AF351. It was determined that PK789 was positioned on the incorrect lead in line while manoeuvering.Sources: https://www.flightradar24.com/data/flights/pk789#c10369a  https://www.flightradar24.com/data/aircraft/f-gspp#c10d490  http://www.cbc.ca/news/canada/toronto/pearson-airport-wings-collide-1.3920299  TSB A17O0001 History of this aircraft Other occurrences involving this aircraft ï»¿  16 November 2011 F-GSPP Air France 0 Paris-Charles de Gaulle Airport (CDG/LFPG) non Media:PIA plane hit Air France plane at Toronto Airport https://t.co/fGrhWrBFKc pic.twitter.com/50E8mvd8UUâ Times of lsIamabad (@TimesofIslambad) January 4, 2017 Revision history:Date/timeContributorUpdates04-Jan-2017 15:08 harro Added 04-Jan-2017 15:11 harro Updated [Date, Time, Embed code, Narrative, ]10-May-2023 10:52 harro Updated Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/192549"
"17:51","    Boeing 777-240LR","Tuesday 3 January 2017","Pakistan International Airlines - PIA","AP-BGY","33781/504","2005","General Electric GE90","0 / Occupants:","0","Substantial, repaired","Accident","TorontoâLester B. Pearson International Airport, Ontario (YYZ) -   Canada","Taxi","Passenger - Scheduled","Lahore-Allama Iqbal International Airport (LHE/OPLA)","Toronto-Pearson International Airport, ON (YYZ/CYYZ)",NA,"Information verified through data from accident investigation authorities","Pakistan International Airlines flight PK789, a Boeing 777-200LR (AP-BGY), contacted a parked Air France Boeing 777-200ER (F-GSPP) while taxiing to Gate C33 at Toronto International Airport in Canada. The aircraft's right hand wing tip scraped the wing tip of the Air France aircraft, causing minor damage. Flight PK789 had just arrived after a flight from Karachi and Lahore, Pakistan. The Air Fance 777, flight AF356, had arrived an hour earlier after a flight from Paris-CDG. It was being prepared for the return leg to Paris as AF351. It was determined that PK789 was positioned on the incorrect lead in line while manoeuvering.Sources: https://www.flightradar24.com/data/flights/pk789#c10369a  https://www.flightradar24.com/data/aircraft/f-gspp#c10d490  http://www.cbc.ca/news/canada/toronto/pearson-airport-wings-collide-1.3920299  TSB A17O0001 History of this aircraft Other occurrences involving this aircraft ï»¿  15 February 2007 AP-BGY Pakistan International Airlines - PIA 0 Manchester International Airport (MAN/EGCC) min Collision with other aircraft on apron Media:PIA plane hit Air France plane at Toronto Airport https://t.co/fGrhWrBFKc pic.twitter.com/50E8mvd8UUâ Times of lsIamabad (@TimesofIslambad) January 4, 2017 Revision history:Date/timeContributorUpdates04-Jan-2017 15:09 harro Added 04-Jan-2017 15:10 harro Updated [Time, Operator, Embed code, ]04-Jan-2017 15:12 harro Updated [Date, ]10-May-2023 10:52 harro Updated Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":53,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/192550"
"08:39","    Bombardier CL-600-2B16 Challenger 604","Saturday 7 January 2017","MHS Aviation","D-AMSC","5464","2000Total airframe hrs:10211 hoursCycles:5504 flights","General Electric CF34-3B","0 / Occupants: 9","0","Substantial, written off","Accident","1230 km SSE of Muscat, Oman -   Indian Ocean","En route","Executive","MalÃ© International Airport (MLE/VRMM)","Abu Dhabi-Bateen Airport (AZI/OMAD)"," BFU","Information verified through data from accident investigation authorities","At 11:52 hours (06:52 UTC) the Challenger 604 jet took off from runway 36 at MalÃ©, Maldive Islands, for a flight to Al-Bateen, United Arab Emirates. Three crew members and six passengers were on board the airplane. At 07:20 UTC the airplane reached cruise level FL340. After entering Indian airspace (Mumbai FIR) the aircraft was cleared to fly to reporting point KITAL via route L894. At approximately 08:18 UTC the co-pilot radioed reaching reporting point GOLEM. At 06:55 UTC an Airbus A380-861 (A6-EUL) had taken off at Dubai Airport, United Arab Emirates, for flight EK412 to Sydney, Australia. The aircraft flew at FL350 with a southern heading. At 08:38:07 UTC the A380 had passed the Challenger overhead with a vertical distance of 1,000 ft. At 08:38:54 UTC the Challenger, with engaged autopilot, began to slightly roll right. At the same time a counter-rotating aileron deflection was recorded and fluctuation of the vertical acceleration began.  In the subsequent approximately 10 seconds the airplane had a right bank angle of 4Â° to 6Â°. At 08:39:03 UTC the right bank angle began to increase. Within one second the bank angle increased to 42Â° to the right. At the same time the aileron deflection to the left increased to 20Â° and the vertical acceleration to 1.6 g. In the following second vertical acceleration changed to -3.2 g. At 08:39:04 UTC a lateral acceleration of 0.45 g to the right was recorded. The pitch angle changed from about 3Â° to about 1Â°, then within one second increased to 9Â° and decreased again in the following second to -20Â°. At the same time the FDR recorded a rudder deflection to the left reaching 11.2Â° after about two seconds whereas the bank angle changed from 42Â° right to 31Â° left. Between 08:39:05 UTC and 08:39:10 UTC Indicated Airspeed (in knots) changed from approximately 277 KIAS to 248 KIAS. The N1 of the left engine of 95% began to decrease. The lateral acceleration then reached 0.94 g left, the autopilot disengaged, and a master warning, lasting seven seconds, was recorded. Both pilots had actuated the aileron to the right in order to stop the rolling motion. But the airplane had continued to roll to the left thereby completing several rotations. Subsequently both Inertial Reference Systems (IRS), the Flight Management System (FMS), and the attitude indication failed. Between 08:39:09 UTC and 08:39:41 UTC the FDR recorded a loss of altitude of approximately 8,700 ft. Large control surface deflections and acceleration were recorded. The speed increased and at 08:39:31 UTC reached approximately 330 KIAS. At 08:39:30 UTC the spoilers extended and 13 seconds later were retracted again. The N1 of the left engine had decreased to approximately 40% when the Interstage Turbine Temperature (ITT) began to increase and nine seconds later had reached 850Â°. The left engine was shut off. At about 08:56 UTC the Pilot in Command (PIC) informed the air traffic controller in Mumbai of the occurrence, declared emergency, and reported their position, altitude and their intention to fly via KITAL to Oman. At about 09:15 UTC the crew restarted the left engine. Subsequently the airplane climbed to FL250. At about 09:56 UTC the autopilot was re-engaged. At 11:05 UTC the Challenger landed at Muscat Airport. The A380 continued the flight to Sydney and landed there at 19:58 UTC. The aircraft manufacturer determined that the Challenger's airframe structure could not be restored to an airworthy state as it exceeded the airframe certification design load limits during the upset encounter.Accident investigation:   Investigating agency: BFU Report number: BFU17-0024-2X Status: Preliminary reportDuration: 4 monthsDownload report:  Preliminary report Sources: Oman Observer  atheer.com  PPRuNe   Location  Images: photo (c) BFU/Google Earth; over Arabian Sea; 07 January 2017 photo (c) BFU; over Arabian Sea; 07 January 2017 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170107-0"
"16:19","    Cessna 560 Citation Encore","Wednesday 11 January 2017","Hesnes Air","LN-IDB","560-0637","2003Total airframe hrs:3847 hoursCycles:2730 flights",NA,"0 / Occupants: 2","0","Substantial, written off","Accident","S of Oslo-Gardermoen Airport (OSL/ENGM) -   Norway","Initial climb","Ferry/positioning","Oslo-Gardermoen Airport (OSL/ENGM)","Sandefjord-Torp Airport (TRF/ENTO)"," AIBN","Accident investigation report completed and information captured","The Cessna Citation Encore had flown a passenger from Bern in Switzerland to Oslo-Gardermoen Airport in Norway. The crew had planned a shortest possible ground stop before flying to Torp Sandefjord Airport. The captain flew the aircraft (PF), while the First Officer monitored the flying (PM). During the ground stop at Gardermoen, only one engine was stopped while the First Officer completed an external inspection of the aircraft He did not observe any ice or anything out of the ordinary on the areas of the aircraft that could be inspected. There were icing conditions at Gardermoen and in the airspace above the airport. After flying from Switzerland for more than two hours in approximately minus 50Â°C, the aircraft's surfaces (fuselage and wings) were more than likely chilled. When the crew requested taxi clearance, they were assigned a different runway than expected. This entailed a longer taxi time and thus longer exposure to the prevailing weather conditions. The aircraft's ground stop lasted approximately 15 minutes at an air temperature of 0Â°C. The taxiways and runway were covered with 3-6 mm of slush and it was snowing when the aircraft took off. Initially, the take-off proceeded as normal. The landing gear was retracted and both pilots observed that the speed was rapidly approaching 200 kt, which is the maximum speed with flaps deployed. As the flaps were retracted, the crew experienced a violent nose-down movement and the pilots were ""hanging by their seat belts"", while the aircraft started sharply banking to the left. The aircraft at this moment experienced negative 2.62 G. The captain did not trust the instruments while the First Officer had better situational awareness. The First Officer quickly took control and started a pull-out from the dive. The aircraft descended below the cloud base, and even though it was dark, the pilots could glimpse the ground. Control was regained and the aircraft levelled off 170 ft above the ground. The aircraft was overstressed to 5.99 G during the pull-out. The crew called ""MAYDAY"" to the Air Traffic Control. Once control was regained, the ""MAYDAY"" was cancelled and the flight continued towards Torp where an approach and landing took place without further problems. The aircraft was overstressed well above Ultimate Load Factor (-2.16 to +5.40 G) and considered not to be economically viable to repair. Primary conclusion: 1. The probable explanation for the aircraft suddenly diving, is that the tailplane stalled. AIBN has not found other explanations for this than slush spray from the runway and falling snow and sleet settled on the tailplane's leading edge and underside during taxi and take-off. This contamination is presumed to have frozen to ice. 2. The aircraft's anti and de-icing systems on the wings and tailplane were switched on, but the tailplane de-icing system had completed a ""cycle"" before take-off and was in rest mode during take-off. In the assessment by AIBN, the aircraft's anti- and de-icing systems were not suitable to remove the type of ice and snow that had most likely settled on the aircraft's tailplane. The aircraft should have been de-iced before take-off, in line with the company's de-icing procedure, to avoid potential consequences of contamination on the tailplane. 3. This accident shows the significance of good crew resource management (CRM) in the cockpit when an unexpected and extreme flight situation occurs. In this instance, the First Officer's situational awareness and initial pull-out contributed to the aircraft not crashing.METAR: 15:20 UTC / 16:20 local time: ENGM 111520Z 03005KT 350V100 4200 -SN BR OVC004 00/M01 Q0965 TEMPO 2500 -SN BKN006=15:50 UTC / 16:50 local time: ENGM 111550Z 03005KT 010V070 6000 -SNRA OVC004 00/M00 Q0965 TEMPO 3000 -SN=16:20 UTC / 17:20 local time: ENGM 111620Z 02007KT 350V050 6000 -SN SCT004 BKN007 00/M01 Q0965 TEMPO 3000 -SN=16:50 UTC / 17:50 local time: ENGM 111650Z 36006KT 5000 -RA BR SCT002 BKN015 00/M01 Q0965 TEMPO 3000 -SNRA BR BKN008=Accident investigation:   Investigating agency: AIBN Report number: SL 2020/03 Status: Investigation completedDuration: 3 years Download report:  Final report Sources:  Location  Images: photo (c) Flyger83; 21 November 2009 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":45,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170111-0"
"16:00","    Beechcraft B200 Super King Air","Friday 13 January 2017","Optimal Aviation Services","N795DE","BB-1510","1996","P&W PT6A","0 / Occupants: 1","0","Substantial","Accident","Five Point-Agro-West Airport, CA -   United States of America","Take off","Ferry/positioning","Five Point-Agro-West Airport, CA","Visalia Airport, CA (VIS/KVIS)"," NTSB","Accident investigation report completed and information captured","The pilot reported that, during the takeoff roll on a narrow runway about 70 to 80 knots, he noticed that the engines were not at full power. He advanced the throttles ""a little further,"" but when he did so, the left main landing gear dropped off the left side of the runway into soft mud. Subsequently, the airplane veered off the runway to the left, the nose gear collapsed, and the airplane stopped in the mud. The fuselage and engine firewalls sustained substantial damage. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation. PROBABLE CAUSE: ""The pilot's failure to maintain directional control during takeoff. ""Accident investigation:   Investigating agency: NTSB Report number: GAA17CA114 Status: Investigation completedDuration: 2 monthsDownload report:  Final report Sources: NTSB   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":50,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/database/record.php?id=20170113-0"
"16:45","    Boeing 737-8AS (WL)","Saturday 14 January 2017","Ryanair","EI-EBW","35010/2873","2009","CFMI CFM56-7B","0 / Occupants: 95","0","None","Accident","On descent to Manchester Airport -   United Kingdom","Approach","Passenger - Scheduled","Stuttgart-Echterdingen Airport (STR/EDDS)","Manchester International Airport (MAN/EGCC)"," AAIB","Accident investigation report completed and information captured","Whilst descending in to a high altitude jetstream, an associated rise in headwind caused the  aircraft to overspeed.    The  commander  disengaged  the autopilot  (AP)  and  used manual control inputs to stop the speed increasing, but in doing so applied a significant nose-up pitch input on the control column.  The resulting manoeuvre caused two cabin crew members to fall,  and  one of them  sustained a broken ankle.     The operator has issued additional guidance to its pilots regarding overspeed recognition and recovery.Accident investigation:   Investigating agency: AAIB Report number: EW/C2017/01/02 Status: Investigation completedDuration: 1 year and 3 monthsDownload report:  Final report Sources: https://assets.publishing.service.gov.uk/media/5ad6fc84ed915d32a65dbcd5/Boeing_737-8AS_EI-EBW_05-18.pdf History of this aircraft Other occurrences involving this aircraft ï»¿  19 May 2018 EI-EBW Ryanair 0 Dublin Airport (DUB/EIDW) non Revision history:Date/timeContributorUpdates26-Oct-2018 19:59 Eugenio Grigorjev Added 26-Oct-2018 20:00 harro Updated [Aircraft type, Accident report, ]27-Oct-2018 06:48 harro Updated [Narrative, ]18-May-2024 06:05 ASN Updated [Departure airport, Destination airport, Narrative, ] Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":54,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","https://aviation-safety.net/wikibase/216715"
