"Time","Type","Date","Owner.operator","Registration","MSN","Year.of.manufacture","Fatalities","Other.fatalities","Aircraft.damage","Category","Location","Phase","Nature","Departure.airport","Destination.airport","Confidence.Rating","Narrative","Engine.model","Investigating.agency","detail_link"
"11:16","    British Aerospace BAe-125-700A","Monday 2 January 2006","Avcom","P4-AOD","257153","1981","3 / Occupants: 3","0","Destroyed, written off","Accident","4,3 km W of Kharkov Airport (HRK) -   Ukraine","Approach","Ferry/positioning","Moskva-Sheremetyevo Airport (SVO/UUEE)","Kharkov Airport (HRK/UKHH)","Information is only available from news, social media or unofficial sources","The BAe-125-700A corporate jet was being repositioned from Moscow's Sheremetyevo Airport to Kharkiv, Ukraine, to pick up passengers for Lyon, France. As the aircraft was approaching Kharkiv, the flight crew selected flaps down at 4600 meters from the runway. However, there was an asymmetry in the released of the flaps (left flap 6Â°, right flap 20Â°). The flight crew lost control as the aircraft fell off to the left. The aircraft lost altitude until it hit treetops and impacting the shore of a lake. On impact, the aircraft exploded. The wreckage was scattered on the ice surface of the lake or sunk in the lake at 4330 m from the runway and 750 m from the extended centreline.METAR: 09:00 UTC / 11:00 local time: UKHH 020900Z 10008MPS 9999 BKN008 OVC016 M02/M03 Q1033 08920147 NOSIG=Wind 100 degrees at 8m/sec [16kts], Broken clouds, 800 ft AGL, Overcast, 1600m AGL, temperature -2 deg C, QNH 1033 Sources: ITAR-TASS  airdisaster.ru   Location  Images: photo (c) VÃ¡clav Kudela; Praha-Ruzyne Airport (PRG); April 2004 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿",NA,NA,"https://aviation-safety.net/database/record.php?id=20060102-0"
"12:40","    Antonov An-26","Tuesday 3 January 2006","Ruwenzori Air Asala","","",NA,"0 / Occupants:","0","Substantial","Accident","Fataki -   Congo (Democratic Republic)","En route","Unknown","Bunia Airport (BUX/FZKA)","Aru Airstrip",NA,"The Antonov An-26 was operating on a flight from Beni Airport (BNC) to Aru via Bunia Airport (BUX). The airplane reportedly crashed at Fataki, injuring the three passengers.Sources: DigitalCongo   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":95,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Ivchenko AI-24",NA,"https://aviation-safety.net/database/record.php?id=20060103-0"
"08:00","    Cessna 560 Citation Ultra","Thursday 5 January 2006","NetJets","N391QS","560-0493","1985Total airframe hrs:6276 hours","0 / Occupants: 7","0","Substantial, repaired","Accident","Minocqua-Noble F. Lee Airport, WI (ARV) -   United States of America","Landing","Passenger - Non-Scheduled/charter/Air Taxi","Chicago-Executive Airport, IL (PWK/KPWK)","Minocqua-Noble F. Lee Airport, WI (ARV/KARV)","Accident investigation report completed and information captured","A Cessna 560 Citation Ultra, N391QS, sustained substantial damage when the right wing contacted runway 36 during a landing at the Lakeland Airport/Noble F. Lee Memorial Field (ARV), near Minocqua-Woodruff, Wisconsin, USA. The airplane subsequently departed the runway and impacted a snow bank.  The operator reported that the airplane's nose landing gear wheel assembly and nose landing gear strut fork separated from the aircraft. The right side nose landing gear door separated from aircraft and there was damage to the radome, fuselage structure aft of nose landing gear well, right wing inboard flap panel and attaching structure, right wing upper and lower surfaces, and right wing tip. PROBABLE CAUSE: ""The Captain's failure to maintain adequate airspeed during the landing which resulted in a stall/mush. Factors were the gusty conditions, the snowbank in the safety area next to the runway, and the runway light that the airplane struck.""Accident investigation:   Investigating agency: NTSB Report number: CHI06LA058 Status: Investigation completedDuration: 2 monthsDownload report:  Final report Sources: Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":53,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney Canada JT15D"," NTSB","https://aviation-safety.net/database/record.php?id=20060105-2"
"02:00","    Beechcraft A100 King Air","Thursday 5 January 2006","North Country Aviation","N700NC","B-138","1972Total airframe hrs:13033 hours","0 / Occupants: 3","0","Destroyed, written off","Accident","Sault Ste Marie Municipal-Sanderson Airport, MI (SSM) -   United States of America","Landing","Ambulance","Traverse City-Cherry Capital Airport, MI (TVC/KTVC)","Sault Ste Marie Municipal-Sanderson Airport, MI (SSM/KANJ)","Accident investigation report completed and information captured","A Beech A100, N700NC, operated as an emergency medical service flight, veered off runway 32 (5,235 feet by 100 feet, asphalt) during landing roll at Sault Ste Marie Municipal/Sanderson Field Airport, MI (ANJ). The airplane received substantial damage when it impacted snow covered terrain. Night instrument meteorological conditions prevailed at the time of the accident. The pilot stated that he executed the VOR 32 approach and broke out of a cloud layer about 900 feet above ground level (AGL). Approximately 2 miles from the airport, he could see the runway lights and that the runway was ""completely"" snow and slush covered such that the close in runway lights became difficult to see. The airplane crossed the runway threshold at 100 knots indicated airspeed and landed approximately 700 feet down the runway. The pilot stated he immediately felt the airplane decelerate in deep slush and veer to the left but there ""was nothing he could do"" before the airplane's left main landing gear wheel caught a snow bank. PROBABLE CAUSE: ""The inadequate in-flight decision to continue the approach to land, directional control not maintained, and the contaminated runway. Contributing factors were flight to destination alternate not performed, a notice to airman not issued by airport personnel relating to snow/slush contamination of the runway, and the snow bank that the airplane impacted during the landing.""Accident investigation:   Investigating agency: NTSB Report number: CHI06LA062 Status: Investigation completedDuration: 1 year and 7 monthsDownload report:  Final report Sources: NTSB   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney PT6-28"," NTSB","https://aviation-safety.net/database/record.php?id=20060105-1"
"17:04","    Douglas C-54G (DC-4)","Thursday 5 January 2006","Buffalo Airways","C-GXKN","36090","1946","0 / Occupants: 4","0","Substantial, written off","Accident","Norman Wells Airport, NT (YVQ) -   Canada","En route","Cargo","Norman Wells Airport, NT (YVQ/CYVQ)","Yellowknife Airport, NT (YZF/CYZF)","Accident investigation report completed and information captured","The C-54 departed Norman Wells at 16:52. Six minutes later, the crew declared an emergency due to a fire in the number 2 engine. The no. 2 engine quit and the crew tried to extinguish the fire by activating the fire bottles. This did not extinguish the fire. They feathered the no. 2 propeller and simultaneously the no. 1 propeller feathered. The crew decided to perform an off-field forced landing, but then the engine fire extinguished. They made it back to Norman Wells where an emergency landing on two engines was carried out. The aircraft departed the runway and came to a halt in deep snow some 60 feet from the edge of the runway. Findings as to Causes and Contributing Factors: 1. Airworthiness Directive AD 48-12-01 mandates the replacement of the potentially hazardous fuel line, but the line had not been replaced on this aircraft. 2. A fuel leak from the main fuel inlet line in the engine compartment of this cargo DC-4 caused an in-flight fire that spread into the nacelle and wing. 3. The fuel-fed fire burned for an extended period of time because turning the fuel selector off is not required as part of the primary Engine Fire Checklist.Accident investigation:   Investigating agency: TSB Report number: TSB Report A06W0002 Status: Investigation completedDuration: 1 year 1 monthDownload report:  Final report Sources: CADORS Number: 2006C0041   Location  Images: photo (c) Peter Taylor, via Anson Chappell; Norman Wells Airport, NT (YVQ); 06 January 2001; (CC:by-nc-nd) photo (c) Peter Taylor, via Anson Chappell; Norman Wells Airport, NT (YVQ); 06 January 2001; (CC:by-nc-nd) photo (c) Peter Taylor, via Anson Chappell; Norman Wells Airport, NT (YVQ); 06 January 2001; (CC:by-nc-nd) photo (c) Peter Taylor, via Anson Chappell; Norman Wells Airport, NT (YVQ); 06 January 2001; (CC:by-nc-nd) photo (c) Dirk Septer; Hay River Airport, NT (YHY/CYHY); 16 July 2009 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney R-2000-7M2"," TSB","https://aviation-safety.net/database/record.php?id=20060105-0"
"09:30","    Dassault Falcon 20E","Monday 9 January 2006","Iranian Revolutionary Guard Corps Air Force - IRGCAF","15-2233","333","1975","11 / Occupants: 11","0","Destroyed, written off","Accident","12 km W of Orumiyeh -   Iran","Unknown","Military","Tehran-Mehrabad Airport (THR/OIII)","Urmia (Orumiyeh) Airport (OMH/OITR)","Information is only available from news, social media or unofficial sources","Crash-landed in a field in poor weather conditions. The Head of the ground forces of the Revolutionary Guard, Ahmad Kazemi, was among those killed in the crash. Reports indicate that the crew did not get three greens after selecting the gear down while on approach to Orumiyeh Airport. A flypast was done so the control tower could observe the status of the landing gear. While circling the airplane suffered a double engine flame-out, reportedly as a result of engine icing. An emergency landing was attempted in a field, but the Falcon crashed.Sources: Reuters  IRNA   Location  Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":49,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿",NA,NA,"https://aviation-safety.net/database/record.php?id=20060109-0"
"11:00","    North American Rockwell T-39N Sabreliner","Tuesday 10 January 2006","United States Navy","165524","282-60","1966","4 / Occupants: 4","0","Destroyed, written off","Accident","16 km S of Villanow, GA -   United States of America","En route","Military","Chattanooga-Lovell Field, TN (CHA/KCHA)","Pensacola NAS, FL (NPA/KNPA)","Information is only available from news, social media or unofficial sources","The Sabreliner took off for a navigation training mission around 11:00 and was scheduled to arrive in Pensacola around 15:00. Last radio contact was at 11:20. The aircraft was found to have crashed on Johns Mountain. Debris was scattered over several hundreds yards. Investigators found the point of initial impact that probably caused the accident about a mile away from the crash site, where the airplane appears to have contacted a tree.Sources: AP  US Navy and US Marine Corps Aircraft Serial Numbers and Bureau Numbers--1911 to Present / Joe Baugher  CNN  US Navy   Location  Revision history:Date/timeContributorUpdates Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney JT12A-6A Turbo Wasp",NA,"https://aviation-safety.net/database/record.php?id=20060110-1"
"11:45","    de Havilland Canada DHC-6 Vista Liner 300","Tuesday 10 January 2006","Nature Air","TI-BAF","337","1972","0 / Occupants: 13","0","Substantial, repaired","Accident","Puerto JimÃ©nez Airport (PJM) -   Costa Rica","Take off","Passenger - Scheduled","Puerto Jimenez Airport (PJM/MRPJ)","San JosÃ©-Tobias Bolanos International Airport (SYQ/MRPV)","Accident investigation report completed and information captured","The flight crew lost directional control, about 100 meters after commencing takeoff from runway 34 at Puerto JimÃ©nez Airport, Costa Rica. The aircraft veered off the left hand side of the runway and collided with obstacles and terrain. The right hand wing separated completely. Contributing factors: - Lack of real teamwork on the part of the captain of the aircraft. - Lack of vigilance on the part of the operator's administration and the DGAC. - Tiredness, fatigue and demotivation - Failure in the effective application of operational procedures due to loss of situational awareness and lack of concentration by both crew members.Sources: BoletÃ­n Informativo 2006 / DGAC, Unidad de InvestigaciÃ³n de Accidentes   Location  Images: photo (c) Rolf Larsson; Stockholm-Bromma Airport (BMA); 10 June 1973 photo (c) via Werner Fischdick; Grand Canyon-National Park Airport, AZ (GCN); September 1993 Revision history:Date/timeContributorUpdates The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney Canada PT6A-27",NA,"https://aviation-safety.net/database/record.php?id=20060110-0"
"05:49 UTC","    Canadair CRJ-200ER","Wednesday 11 January 2006","Air Nostrum","EC-JEN","7958","2005","0 / Occupants: 11","0","Substantial","Accident","Valencia Airport (VLC/LEVC) -   Spain","Standing","Passenger - Scheduled","Valencia Airport (VLC/LEVC)","","Information verified through data from accident investigation authorities","Air Nostrum flight ANS8831, a CRJ-200ER, was struck by a Valencia Airport signal car. The car collided with the right wing of the aircraft, which was stopped at the H1 holding point of runway 30. In the preceding minutes, an Alitalia aircraft, with call sign AZ085, had taken off for Milan. After takeoff, IB1343 was cleared to enter runway 30 and ANS8831 was cleared to taxi to the H1 holding point vacated by IB1343.  The Alitalia aircraft radioed, two minutes before the accident, to report a possible loss of an object during takeoff, advising a runway check. The controller called the signalman for an check of runway 12/30. The signalman moved with the car from the base house, along taxiway A to H1 to access the runway from there, and the accident occurred at this waiting point.  Causes It is considered that the collision of the signaling service vehicle with the EC-JEN aircraft, which was stopped at the H1 holding point, occurred because the signaller was not aware of the presence of the aircraft. The signaling car had been authorized by the Valencia Airport aerodrome control service to access the H1 holding point without having been informed of the presence of the EC-JEN aircraft, which in turn had been authorized to taxi to the same point minutes earlier. Possible influencing factors in the accident are considered to be: - Glare effect exerted by the road running to the left and converging with taxiway A when, in night light conditions, taxiing from the north apron to standby point H1. - Aircraft logo lights off, limiting visibility to the rear, especially in areas close to the runway. - Incorrect execution of runway inspection procedures. - Excessive speed of the signaling vehicle in the movement area. - Movement of the signaling vehicle along the edge of the taxiway. - Decreased visibility of the accident area from the control tower due to light conditions and the presence of trees. - Decreased attention in both controller and signalman due to: * A low workload environment, with perceived absence of threats and no demanding demands due to the high degree of experience on the job, and. * Work shifts that disrupt daytime cycles of activity.Accident investigation:   Investigating agency: CIAIAC Report number: A-002/2006 Status: Investigation completedDuration: Download report:  Final report Sources: CIAIAC Ref. A-002/2006  Revision history:Date/timeContributorUpdates24-Sep-2020 08:13 ASN Update Bot Added Corrections or additions? ... Edit this accident description The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":8,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","GE CF34-3B1"," CIAIAC","https://aviation-safety.net/wikibase/242867"
"18:26","    Beechcraft B300 King Air 350","Thursday 12 January 2006","Euroflug Frenzel","D-CUNO","FL-311","2001Total airframe hrs:1500 hours","2 / Occupants: 2","0","Destroyed, written off","Accident","0,5 km N of Freiburg Im Breisgau Airport -   Germany","Approach","Ferry/positioning","Karlsruhe/Baden-Baden Airport (FKB/EDSB)","Freiburg Im Breisgau Airfield (EDTF)","Accident investigation report completed and information captured","The Beechcraft B300 Super King Air 350 was approaching runway 16 of Freiburg Im Breisgau Airport, Germany in heavy fog. The crew descended too low and touched trees, 450 meters before the runway. The plane crashed in a small forest and burned out. The accident in which the aircraft touched in controlled descent trees while on final approach under visual flight rules (VFR), was due to the fact that: - The decision was made for a visual flight at night (night VFR), although the weather conditions were marginal, - The approach to the airfield in Freiburg was continued with insufficient visibility.Accident investigation:   Investigating agency: BFU Report number: 1X001-0/06 Status: Investigation completedDuration: 3 years and 6 monthsDownload report:  Final report Sources: BFU   Location  Revision history:Date/timeContributorUpdates18-Sep-2024 11:57 ASN Updated [Accident report, ] The Aviation Safety Network is an exclusive service provided by: Quick Links: ASN Home Send Correction / FeedbackFSF Home DisclaimerCopyright Contact Us Privacy PolicyPress / Media CONNECT WITH US: ©2025 Flight Safety Foundation 1920 Ballenger Av, 4th Fl. Alexandria, Virginia 22314www.FlightSafety.org window.NREUM||(NREUM={});NREUM.info={""beacon"":""bam.nr-data.net"",""licenseKey"":""NRJS-b28a197507ed0552825"",""applicationID"":""582319234"",""transactionName"":""YwdaMkUCWRZSBhJfXVpNbRReTEAMWAwEV0FRTU8PXAoZFVsV"",""queueTime"":0,""applicationTime"":3,""atts"":""T0BZRA0YShg="",""errorBeacon"":""bam.nr-data.net"",""agent"":""""}ï»¿","Pratt & Whitney Canada PT6A-60A"," BFU","https://aviation-safety.net/database/record.php?id=20060112-0"
